bucket	signature	post_filter_rank	n_steps	score	route_class	max_terminal_heavy_atoms	tags	terminal_reactants
C_triage_fragment_weak	b97cdc9aecf56ff2	89	17	3.8415258985669786e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CI | CS(=O)(=O)Cl | N=C(N)N | CN(C)C=O | CCOC(=O)CC(C)=O | O=C(O)CC(=O)O | CO
C_triage_fragment_weak	2d0aaf732ae1b9dc	110	17	1.8491881159228909e-06	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CI | CS(=O)(=O)Cl | N=C(N)N | CN(C)C=O | CCOC(=O)CC(C)=O | O=C(O)CC(=O)O
C_triage_fragment_weak	5835aaa22f5c62e0	200	17	1.88622526675627e-07	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CI | CS(=O)(=O)Cl | N=C(N)N | CN(C)C=O | CCOC(=O)CC(C)=O | COC(=O)OC | CC(=O)[O-]
C_triage_fragment_weak	eb7e9d277840b018	203	17	1.6422374665396953e-07	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CI | CS(=O)(=O)Cl | CCOC(=O)CC(=O)C(C)C | N=C(N)N | COC(=O)CC(=O)OC | NO
C_triage_fragment_weak	9fce40b514f6adf1	207	17	1.549109014416204e-07	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CI | CS(=O)(=O)Cl | N=C(N)N | CN(C)C=O | CCOC(=O)CC(C)=O | CCOC(=O)CC(=O)[O-]
C_triage_fragment_weak	5edf958484ceab66	335	17	1.9950375672447196e-09	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CI | CS(=O)(=O)Cl | N=C(N)N | CN(C)C=O | CCOC(=O)CC(C)=O | COC(=O)CC(=O)OC | NO
C_triage_fragment_weak	fa58634990fd2517	4	18	0.0013139846897119412	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(C)=O | CC(=O)C(C)C | COC(=O)CC(=O)OC
C_triage_fragment_weak	964a74c36d44098e	19	18	8.109814664145511e-05	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CCOC(=O)CC(C)=O | CC(C)=O | COC(=O)CC(=O)OC
C_triage_fragment_weak	33e810a919f4c618	20	18	8.086753426982953e-05	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)=O | CC(=O)CC(C)=O | COC(=O)CC(=O)OC
C_triage_fragment_weak	5401b371cbedad56	23	18	6.516425212070383e-05	triage_fragment	25	acylating_piece_present;advanced_or_product_like_terminal;aryl_coupling_hint	[OH-] | CC(=O)OC(C)(C)C | OB(O)c1ccc(F)cc1 | CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1 | CN(C)C=O | O=C([O-])[O-] | CS(=O)(=O)Cl | CC(=O)Cl | N=C(N)N | CC(C)C(=O)O | CC(C)=O | COC(=O)CC(=O)OC
