template_id,template,n_examples
33,[N;D1;H0:2]#[C;H0;D2;+0:1]-[C@H;D3;+0:4](-[OH;D1;+0:3])-[c:5]>>[CH;D1;+0:1]#[N;D1;H0:2].[O;H0;D1;+0:3]=[CH;D2;+0:4]-[c:5],54
34,[#15:1]-[OH;D1;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:11].[C:7]-[S;H0;D2;+0:8]-[C;H0;D3;+0:10](=[O;D1;H0:9])-[c:12]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[SH;D1;+0:8].[O;D1;H0:9]=[C;H0;D3;+0:10](-[OH;D1;+0:11])-[c:12],52
35,[#15:1]-[OH;D1;+0:2].[C:7]-[O;H0;D2;+0:8]-[S;H0;D4;+0:3](=[O;D1;H0:4])(=[O;D1;H0:5])-[O;D1;H1:6]>>[#15:1]-[O;H0;D2;+0:2]-[S;H0;D4;+0:3](=[O;D1;H0:4])(=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[OH;D1;+0:8],51
36,[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:5](-[C;D1;H3:6])=[O;D1;H0:7].[C:3]-[SH;D1;+0:4]>>[C:1]-[NH2;D1;+0:2].[C:3]-[S;H0;D2;+0:4]-[C;H0;D3;+0:5](-[C;D1;H3:6])=[O;D1;H0:7],49
37,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:4])-[OH;D1;+0:5].[NH3;D0;+0:3]>>[C:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:3])=[O;D1;H0:4].[OH2;D0;+0:5],49
38,[C:1]-[CH2;D2;+0:2]-[N;D1;H2:3].[O;D1;H0:5]=[C;H0;D2;+0:4]=[O;H0;D1;+0:6]>>[C:1]-[C@H;D3;+0:2](-[N;D1;H2:3])-[C;H0;D3;+0:4](=[O;D1;H0:5])-[OH;D1;+0:6],49
39,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]-[CH2;D2;+0:13]-[OH;D1;+0:14]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]-[CH;D2;+0:13]=[O;H0;D1;+0:14],48
40,[#7:8]-[C:7](=[O;D1;H0:9])-[C:6]-[NH2;D1;+0:5].[#7:1]-[C:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[OH;D1;+0:10]>>[#7:1]-[C:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[NH;D2;+0:5]-[C:6]-[C:7](-[#7:8])=[O;D1;H0:9].[OH2;D0;+0:10],45
41,[#1;H0;D0;+1].[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](=[O;D1;H0:14])-[OH;D1;+0:15]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]-[CH;D2;+0:13]=[O;D1;H0:14].[OH2;D0;+0:15],44
42,[#8:1]-[C@@H;D3;+0:2](-[OH;D1;+0:6])-[C:5].[C:4]-[OH;D1;+0:3]>>[#8:1]-[C@@H;D3;+0:2](-[O;H0;D2;+0:3]-[C:4])-[C:5].[OH2;D0;+0:6],44
