template_id,template,n_examples
255,[#8:1]-[C:2]-[CH2;D2;+0:3]-[OH;D1;+0:7].[O;D1;H1:6]-[#16:5]-[OH;D1;+0:4]>>[#8:1]-[C:2]-[CH2;D2;+0:3]-[O;H0;D2;+0:4]-[#16:5]-[O;D1;H1:6].[OH2;D0;+0:7],10
256,[#8:1]-[C:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[C;H0;D2;+0:5]#[N;D1;H0:6]>>[#8:1]-[C:2]-[CH;D2;+0:3]=[O;H0;D1;+0:4].[CH;D1;+0:5]#[N;D1;H0:6],10
257,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[O;D1;H1:10].[C:5]-[NH2;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5].[NH2;D1;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[O;D1;H1:10],10
258,[#15:1]-[OH;D1;+0:2].[CH2;D1;+0:10]=[C;H0;D3;+0:11](-[O;H0;D2;+0:12]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6])-[C:13](=[O;D1;H0:14])-[O;D1;H1:15].[O;D1;H0:7]=[C;H0;D2;+0:8]=[O;H0;D1;+0:9]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[O;D1;H0:7]=[C;H0;D3;+0:8](-[OH;D1;+0:9])-[CH2;D2;+0:10]-[C;H0;D3;+0:11](=[O;H0;D1;+0:12])-[C:13](=[O;D1;H0:14])-[O;D1;H1:15],10
259,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:6](=[O;D1;H0:7])(-[O;D1;H1:8])-[O;D1;H1:9].[O;D1;H0:13]=[C;H0;D3;+0:14](-[OH;D1;+0:15])-[CH2;D2;+0:3]-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[C:10](=[O;D1;H0:11])-[O;D1;H1:12]>>[#15:1]-[OH;D1;+0:2].[CH2;D1;+0:3]=[C;H0;D3;+0:4](-[O;H0;D2;+0:5]-[P;H0;D4;+0:6](=[O;D1;H0:7])(-[O;D1;H1:8])-[O;D1;H1:9])-[C:10](=[O;D1;H0:11])-[O;D1;H1:12].[O;D1;H0:13]=[C;H0;D2;+0:14]=[O;H0;D1;+0:15],10
260,[CH;D1;+0:5]#[N;D1;H0:6].[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]>>[C:1]-[C@;H0;D4;+0:2](-[C;D1;H3:3])(-[OH;D1;+0:4])-[C;H0;D2;+0:5]#[N;D1;H0:6],10
261,[C:3]-[C@;H0;D4;+0:4](-[C;D1;H3:5])(-[OH;D1;+0:6])-[C;H0;D2;+0:1]#[N;D1;H0:2]>>[CH;D1;+0:1]#[N;D1;H0:2].[C:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[O;H0;D1;+0:6],10
262,[#7;a:5]1:[c:6]:[#7;a:7]:[c:8]:[c:9]:[cH;D2;+0:4]:1.[O;D1;H0:1]=[C;H0;D2;+0:2]=[O;H0;D1;+0:3]>>[O;D1;H0:1]=[C;H0;D3;+0:2](-[OH;D1;+0:3])-[c;H0;D3;+0:4]1:[#7;a:5]:[c:6]:[#7;a:7]:[c:8]:[c:9]:1,10
263,[#8:1]-[C:2]-[CH;D2;+0:3]=[O;H0;D1;+0:4].[CH;D1;+0:5]#[N;D1;H0:6]>>[#8:1]-[C:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[C;H0;D2;+0:5]#[N;D1;H0:6],10
264,[C:7]-[C@@H;D3;+0:8](-[OH;D1;+0:9])-[CH2;D2;+0:1]-[C:2](=[O;D1;H0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6]>>[CH3;D1;+0:1]-[C:2](=[O;D1;H0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[CH;D2;+0:8]=[O;H0;D1;+0:9],10
265,[O;D1;H0:3]=[C:4](-[O;D1;H1:5])-[CH;D3;+0:6](-[CH2;D2;+0:7]-[C:8](=[O;D1;H0:9])-[O;D1;H1:10])-[CH2;D2;+0:1]-[c:2]>>[CH3;D1;+0:1]-[c:2].[O;D1;H0:3]=[C:4](-[O;D1;H1:5])/[CH;D2;+0:6]=[CH;D2;+0:7]/[C:8](=[O;D1;H0:9])-[O;D1;H1:10],10
266,[C:1]-[C@@;H0;D4;+0:2](-[C;D1;H3:3])(-[CH2;D2;+0:4]-[C:5])-[O;H0;D2;+0:6]-[c:7]>>[C:1]/[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]/[C:5].[OH;D1;+0:6]-[c:7],10
267,[#8:1]-[C:2]-[O;H0;D2;+0:3]-[P;H0;D4;+0:6](=[O;D1;H0:7])(-[O;D1;H1:8])-[O;D1;H1:9].[C:4]-[OH;D1;+0:5]>>[#8:1]-[C:2]-[OH;D1;+0:3].[C:4]-[O;H0;D2;+0:5]-[P;H0;D4;+0:6](=[O;D1;H0:7])(-[O;D1;H1:8])-[O;D1;H1:9],10
268,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:12](=[O;D1;H0:11])(-[O;D1;H1:13])-[O;D1;H1:14].[C:3]-[C;H0;D3;+0:4](=[O;D1;H0:5])-[OH;D1;+0:15].[NH2;D1;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[O;D1;H1:10]>>[#15:1]-[OH;D1;+0:2].[C:3]-[C;H0;D3;+0:4](=[O;D1;H0:5])-[NH;D2;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[O;D1;H1:10].[O;D1;H0:11]=[P;H0;D4;+0:12](-[O;D1;H1:13])(-[O;D1;H1:14])-[OH;D1;+0:15],10
269,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[C@@H;D3;+0:13](-[C;D1;H3:14])-[OH;D1;+0:15]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](-[C;D1;H3:14])=[O;H0;D1;+0:15],9
270,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]-[CH;D3;+0:13](-[OH;D1;+0:14])-[C:15]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C:15],9
271,[#1;H0;D0;+1].[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]/[CH;D2;+0:13]=[CH;D2;+0:14]/[C:15]=[O;D1;H0:16]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]-[CH2;D2;+0:13]-[CH2;D2;+0:14]-[C:15]=[O;D1;H0:16],9
272,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C;D1;H3:12]-[C@@H;D3;+0:13](-[NH;D2;+0:18]-[C:19]-[C:20](=[O;D1;H0:21])-[O;D1;H1:22])-[C:15](=[O;D1;H0:16])-[O;D1;H1:17].[OH2;D0;+0:14]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C;D1;H3:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C:15](=[O;D1;H0:16])-[O;D1;H1:17].[NH2;D1;+0:18]-[C:19]-[C:20](=[O;D1;H0:21])-[O;D1;H1:22],9
273,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[C@H;D3;+0:13](-[C:14])-[OH;D1;+0:15]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](-[C:14])=[O;H0;D1;+0:15],9
274,[#1;H0;D0;+1].[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:18])-[C:15](=[O;D1;H0:16])-[O;D1;H1:17].[NH3;D0;+0:14]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]-[CH;D3;+0:13](-[NH2;D1;+0:14])-[C:15](=[O;D1;H0:16])-[O;D1;H1:17].[OH2;D0;+0:18],9
275,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C;D1;H3:12]-[C@@H;D3;+0:13](-[c:14])-[CH2;D2;+0:15]-[OH;D1;+0:16]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C;D1;H3:12]-[CH;D3;+0:13](-[c:14])-[CH;D2;+0:15]=[O;H0;D1;+0:16],9
276,[C:4]-[S+;H0;D3:5](-[C:6])-[CH3;D1;+0:1].[OH;D1;+0:2]-[c:3]>>[CH3;D1;+0:1]-[O;H0;D2;+0:2]-[c:3].[C:4]-[S;H0;D2;+0:5]-[C:6],9
277,[#15:1]-[OH;D1;+0:2].[#8:4]-[C@@H;D3;+0:3](-[O;H0;D2;+0:7]-[C:6])-[C:5]>>[#15:1]-[O;H0;D2;+0:2]-[CH;D3;+0:3](-[#8:4])-[C:5].[C:6]-[OH;D1;+0:7],9
278,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:6](=[O;D1;H0:7])(-[O;D1;H1:8])-[O;D1;H1:9].[N;D1;H1:3]=[C:4]-[NH2;D1;+0:5]>>[#15:1]-[OH;D1;+0:2].[N;D1;H1:3]=[C:4]-[NH;D2;+0:5]-[P;H0;D4;+0:6](=[O;D1;H0:7])(-[O;D1;H1:8])-[O;D1;H1:9],9
279,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[O;D1;H1:10].[C:5]-[SH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[S;H0;D2;+0:4]-[C:5].[NH2;D1;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[O;D1;H1:10],9
280,[#1;H0;D0;+1].[C:6]-[NH;D2;+0:7]-[CH2;D2;+0:2]-[C:1].[C:4]-[S;H0;D2;+0:3]-[C;D1;H3:5]>>[C:1]-[CH2;D2;+0:2]-[S+;H0;D3:3](-[C:4])-[C;D1;H3:5].[C:6]-[NH2;D1;+0:7],9
281,[#7;a:1]:[c:2]:[cH;D2;+0:3]:[c:5]:[#7;a:6].[CH3;D1;+0:4]-[c;H0;D3;+0:8](:[c:7]):[c:9]>>[#7;a:1]:[c:2]:[c;H0;D3;+0:3](-[CH3;D1;+0:4]):[c:5]:[#7;a:6].[c:7]:[cH;D2;+0:8]:[c:9],9
282,[#7:1]-[C:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[O;H0;D2;+0:11]-[C:10].[#8:8]-[C:7](=[O;D1;H0:9])-[C:6]-[NH2;D1;+0:5]>>[#7:1]-[C:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[NH;D2;+0:5]-[C:6]-[C:7](-[#8:8])=[O;D1;H0:9].[C:10]-[OH;D1;+0:11],9
283,[NH2;D1;+0:4]-[C:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8].[NH3;D0;+0:1].[O;D1;H0:3]=[C;H0;D2;+0:2]=[O;H0;D1;+0:9]>>[NH2;D1;+0:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8].[OH2;D0;+0:9],9
284,[N;D1;H2:1]-[C@@H;D3;+0:2](-[C:3](=[O;D1;H0:4])-[O;D1;H1:5])-[C@@H;D3;+0:7](-[OH;D1;+0:6])-[c:8]>>[N;D1;H2:1]-[CH2;D2;+0:2]-[C:3](=[O;D1;H0:4])-[O;D1;H1:5].[O;H0;D1;+0:6]=[CH;D2;+0:7]-[c:8],9
285,[#7;a:1]:[c;H0;D3;+0:2](:[c:3])-[C@@H;D3;+0:7](-[C:6])-[NH;D2;+0:5]-[C:4].[OH2;D0;+0:8]>>[#7;a:1]:[cH;D2;+0:2]:[c:3].[C:4]-[NH2;D1;+0:5].[C:6]-[CH;D2;+0:7]=[O;H0;D1;+0:8],9
286,[N;D1;H2:1]-[CH2;D2;+0:2]-[C:3](=[O;D1;H0:4])-[O;D1;H1:5].[O;H0;D1;+0:7]=[CH;D2;+0:6]-[c:8]>>[N;D1;H2:1]-[C@@H;D3;+0:2](-[C:3](=[O;D1;H0:4])-[O;D1;H1:5])-[C@@H;D3;+0:6](-[OH;D1;+0:7])-[c:8],9
287,[#7;a:1]:[cH;D2;+0:2]:[c:3].[C:7]-[NH2;D1;+0:6].[C:5]-[CH;D2;+0:4]=[O;H0;D1;+0:8]>>[#7;a:1]:[c;H0;D3;+0:2](:[c:3])-[C@@H;D3;+0:4](-[C:5])-[NH;D2;+0:6]-[C:7].[OH2;D0;+0:8],9
288,[#15:1]-[OH;D1;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:10].[C:7]-[C;H0;D3;+0:8](=[O;D1;H0:9])-[S;H0;D2;+0:12]-[C:11]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[C;H0;D3;+0:8](=[O;D1;H0:9])-[OH;D1;+0:10].[C:11]-[SH;D1;+0:12],9
289,[#15:1]-[OH;D1;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:14].[C:7]-[S;H0;D2;+0:8]-[C;H0;D3;+0:12](=[O;D1;H0:13])/[C:11]=[C:10]/[C:9]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[SH;D1;+0:8].[C:9]/[C:10]=[C:11]/[C;H0;D3;+0:12](=[O;D1;H0:13])-[OH;D1;+0:14],9
290,[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:7])-[c:3]:[c:4]-[NH;D2;+0:5]-[CH;D2;+0:6]=[O;H0;D1;+0:8]>>[C:1]-[c;H0;D3;+0:2]1:[c:3]:[c:4]:[nH;D2;+0:5]:[cH;D2;+0:6]:1.[O;H0;D1;+0:7]=[O;H0;D1;+0:8],8
291,[#7:1]-[C:2]-[CH;D3;+0:3](-[OH;D1;+0:11])-[C:4].[C:5]-[C;H0;D3;+0:6](=[O;D1;H0:7])-[OH;D1;+0:12].[O;D1;H0:9]=[C;H0;D2;+0:8]=[O;H0;D1;+0:10]>>[#7:1]-[C:2]-[CH2;D2;+0:3]-[C:4].[C:5]-[C;H0;D3;+0:6](=[O;D1;H0:7])-[C;H0;D3;+0:8](=[O;D1;H0:9])-[OH;D1;+0:10].[O;H0;D1;+0:11]=[O;H0;D1;+0:12],8
292,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[CH2;D1;+0:12]=[O;H0;D1;+0:16].[OH2;D0;+0:15].[OH;D1;+0:13]-[c:14]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[CH3;D1;+0:12]-[O;H0;D2;+0:13]-[c:14].[O;H0;D1;+0:15]=[O;H0;D1;+0:16],8
293,[#1;H0;D0;+1].[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C:15]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[C@H;D3;+0:13](-[OH;D1;+0:14])-[C:15],8
294,[#8:1]-[C:2](=[O;D1;H0:3])-[C@H;D3;+0:4](-[OH;D1;+0:5])-[c:6].[#8:7]-[C:8]-[n+;H0;D3:9]1:[cH;D2;+0:10]:[c;H0;D3;+0:11](-[C:12](-[N;D1;H2:13])=[O;D1;H0:14]):[cH;D2;+0:15]:[cH;D2;+0:16]:[cH;D2;+0:17]:1>>[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[c:6].[#8:7]-[C:8]-[N;H0;D3;+0:9]1-[CH;D2;+0:10]=[C;H0;D3;+0:11](-[C:12](-[N;D1;H2:13])=[O;D1;H0:14])-[CH2;D2;+0:15]-[CH;D2;+0:16]=[CH;D2;+0:17]-1,8
295,[#1;H0;D0;+1].[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:15]-[S;H0;D2;+0:16]-[C;H0;D3;+0:13](-[C:12])=[O;D1;H0:14]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[CH;D2;+0:13]=[O;D1;H0:14].[C:15]-[SH;D1;+0:16],8
296,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[C@H;D3;+0:13](-[OH;D1;+0:14])-[c:15]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[c:15],8
297,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]/[C:13]=[C:14]/[CH2;D2;+0:15]-[OH;D1;+0:16]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]/[C:13]=[C:14]/[CH;D2;+0:15]=[O;H0;D1;+0:16],8
298,[#1;H0;D0;+1].[CH3;D1;+0:4]-[c;H0;D3;+0:6](:[c:5]):[c:7].[C:1]-[S;H0;D2;+0:2]-[C:3]>>[C:1]-[S+;H0;D3:2](-[C:3])-[CH3;D1;+0:4].[c:5]:[cH;D2;+0:6]:[c:7],8
299,[#7;a:1]:[c:2]1:[c:3](:[c:4]:[#7;a:5])-[N;H0;D3;+0:6]2-[CH2;D2;+0:16]-[N;H0;D3;+0:9](-[c:10])-[C:8]-[C@H;D3;+0:7]-2-[C:11]-[#7:12]-1.[#7;a:13]:[c:14]:[cH;D2;+0:15]:[c:17]:[#7;a:18]>>[#7;a:1]:[c:2]1:[c:3](:[c:4]:[#7;a:5])-[N;H0;D2;+0:6]=[C;H0;D3;+0:7](-[C:8]-[NH;D2;+0:9]-[c:10])-[C:11]-[#7:12]-1.[#7;a:13]:[c:14]:[c;H0;D3;+0:15](-[CH3;D1;+0:16]):[c:17]:[#7;a:18],8
300,[#8:1]-[C;H0;D4;+0:2](-[C:3])(-[OH;D1;+0:4])-[C:8].[#8:6]-[C@@H;D3;+0:5](-[O;H0;D2;+0:10]-[C:9])-[C:7]>>[#8:1]-[C@@;H0;D4;+0:2](-[C:3])(-[O;H0;D2;+0:4]-[C@@H;D3;+0:5](-[#8:6])-[C:7])-[C:8].[C:9]-[OH;D1;+0:10],8
301,[C:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:5](-[C:6])=[O;D1;H0:7].[C:3]-[SH;D1;+0:4]>>[C:1]-[OH;D1;+0:2].[C:3]-[S;H0;D2;+0:4]-[C;H0;D3;+0:5](-[C:6])=[O;D1;H0:7],8
302,[C;D1;H3:1]-[C@H;D3;+0:2](-[NH2;D1;+0:9])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[CH;D2;+0:8]=[O;H0;D1;+0:3]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[CH2;D2;+0:8]-[NH2;D1;+0:9],8
303,[C:1]-[SH;D1;+0:2].[O;D1;H0:4]=[C;H0;D3;+0:3](/[C:5]=[C:6]/[c:7])-[O;H0;D2;+0:12]-[C:11]-[C:9](=[O;D1;H0:8])-[O;D1;H1:10]>>[C:1]-[S;H0;D2;+0:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])/[C:5]=[C:6]/[c:7].[O;D1;H0:8]=[C:9](-[O;D1;H1:10])-[C:11]-[OH;D1;+0:12],8
304,[#15:1]-[OH;D1;+0:2].[C:7]=[C:8]/[C:9]-[O;H0;D2;+0:10]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[C:7]=[C:8]/[C:9]-[OH;D1;+0:10],8
305,[#8:6]-[C;H0;D4;+0:4](-[C:5])(-[OH;D1;+0:3])-[C:7].[#8:1]-[C@@H;D3;+0:2](-[O;H0;D2;+0:10]-[C:9])-[C:8]>>[#8:1]-[C@H;D3;+0:2](-[O;H0;D2;+0:3]-[C@@;H0;D4;+0:4](-[C:5])(-[#8:6])-[C:7])-[C:8].[C:9]-[OH;D1;+0:10],8
306,[C:1]-[C@H;D3;+0:2](-[NH2;D1;+0:9])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[CH;D2;+0:8]=[O;H0;D1;+0:3]>>[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[CH2;D2;+0:8]-[NH2;D1;+0:9],8
307,[#7:1]-[C:2](=[O;D1;H0:3])-[C@H;D3;+0:4](-[C:5])-[NH2;D1;+0:6].[O;D1;H0:8]=[CH;D2;+0:7]-[OH;D1;+0:9]>>[#7:1]-[C:2](=[O;D1;H0:3])-[CH;D3;+0:4](-[C:5])-[NH;D2;+0:6]-[CH;D2;+0:7]=[O;D1;H0:8].[OH2;D0;+0:9],8
308,[C:4]-[C;H0;D3;+0:3](=[O;D1;H0:5])-[OH;D1;+0:6].[C:1]-[SH;D1;+0:2]>>[C:1]-[S;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C:4])=[O;D1;H0:5].[OH2;D0;+0:6],8
309,[#7:1]=[C:2]\[SH;D1;+0:3].[#8:5]-[C@@H;D3;+0:4](-[OH;D1;+0:7])-[C:6]>>[#7:1]=[C:2]\[S;H0;D2;+0:3]-[C@H;D3;+0:4](-[#8:5])-[C:6].[OH2;D0;+0:7],8
310,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:5]-[C:6]-[C:7](=[O;D1;H0:8])-[O;D1;H1:9].[OH2;D0;+0:4]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:4].[NH2;D1;+0:5]-[C:6]-[C:7](=[O;D1;H0:8])-[O;D1;H1:9],8
311,[C;D1;H3:5]-[OH;D1;+0:4].[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:6]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[C;D1;H3:5].[OH2;D0;+0:6],8
312,[#8:1]-[CH;D3;+0:2](-[OH;D1;+0:6])-[C:5].[OH;D1;+0:3]-[c:4]>>[#8:1]-[C@@H;D3;+0:2](-[O;H0;D2;+0:3]-[c:4])-[C:5].[OH2;D0;+0:6],8
313,[C:1]-[CH;D3;+0:2](-[OH;D1;+0:5])-[C:3]-[OH;D1;+0:4]>>[C:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[OH2;D0;+0:5],8
