name,smiles,full_inchikey,pubchem_cid,identity_url
methanesulfonyl chloride,CS(=O)(=O)Cl,QARBMVPHQWIHKH-UHFFFAOYSA-N,31297,https://pubchem.ncbi.nlm.nih.gov/compound/31297
methanesulfonic acid,CS(=O)(=O)O,AFVFQIVMOAPDHO-UHFFFAOYSA-N,6395,https://pubchem.ncbi.nlm.nih.gov/compound/6395
tosyl chloride,Cc1ccc(S(=O)(=O)Cl)cc1,YYROPELSRYBVMQ-UHFFFAOYSA-N,7397,https://pubchem.ncbi.nlm.nih.gov/compound/7397
triflic acid,OS(=O)(=O)C(F)(F)F,ITMCEJHCFYSIIV-UHFFFAOYSA-N,62406,https://pubchem.ncbi.nlm.nih.gov/compound/62406
thionyl chloride,O=S(Cl)Cl,FYSNRJHAOHDILO-UHFFFAOYSA-N,24386,https://pubchem.ncbi.nlm.nih.gov/compound/24386
sulfuryl chloride,O=S(=O)(Cl)Cl,YBBRCQOCSYXUOC-UHFFFAOYSA-N,24648,https://pubchem.ncbi.nlm.nih.gov/compound/24648
oxalyl chloride,O=C(Cl)C(=O)Cl,CTSLXHKWHWQRSH-UHFFFAOYSA-N,65578,https://pubchem.ncbi.nlm.nih.gov/compound/65578
acetyl chloride,CC(=O)Cl,WETWJCDKMRHUPV-UHFFFAOYSA-N,6367,https://pubchem.ncbi.nlm.nih.gov/compound/6367
acetic anhydride,CC(=O)OC(C)=O,WFDIJRYMOXRFFG-UHFFFAOYSA-N,7918,https://pubchem.ncbi.nlm.nih.gov/compound/7918
chloroacetyl chloride,O=C(Cl)CCl,VGCXGMAHQTYDJK-UHFFFAOYSA-N,6577,https://pubchem.ncbi.nlm.nih.gov/compound/6577
trimethylsilyl chloride,C[Si](C)(C)Cl,IJOOHPMOJXWVHK-UHFFFAOYSA-N,6397,https://pubchem.ncbi.nlm.nih.gov/compound/6397
